# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-06-20 10:34:11 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01193050 CONNECTICUT RIVER AT MIDDLE HADDAM, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 01193050
#            TS   parameter     Description
#         66930       00060     Discharge, cubic feet per second
#         66934       72137     Discharge, tidally filtered, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	66930_00060	66930_00060_cd	66934_72137	66934_72137_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01193050	2017-05-15 00:00	EDT	38100	P	38200	P
USGS	01193050	2017-05-15 00:05	EDT	37600	P		
USGS	01193050	2017-05-15 00:10	EDT	37200	P		
USGS	01193050	2017-05-15 00:15	EDT	36700	P		
USGS	01193050	2017-05-15 00:20	EDT	36700	P		
USGS	01193050	2017-05-15 00:25	EDT	36700	P		
USGS	01193050	2017-05-15 00:30	EDT	36700	P		
USGS	01193050	2017-05-15 00:35	EDT	36400	P		
USGS	01193050	2017-05-15 00:40	EDT	36300	P		
USGS	01193050	2017-05-15 00:45	EDT	36000	P		
USGS	01193050	2017-05-15 00:50	EDT	35600	P		
USGS	01193050	2017-05-15 00:55	EDT	35100	P		
USGS	01193050	2017-05-15 01:00	EDT	34600	P	38500	P
USGS	01193050	2017-05-15 01:05	EDT	34000	P		
USGS	01193050	2017-05-15 01:10	EDT	33400	P		
USGS	01193050	2017-05-15 01:15	EDT	32800	P		
USGS	01193050	2017-05-15 01:20	EDT	32600	P		
USGS	01193050	2017-05-15 01:25	EDT	32400	P		
USGS	01193050	2017-05-15 01:30	EDT	32200	P		
USGS	01193050	2017-05-15 01:35	EDT	32200	P		
USGS	01193050	2017-05-15 01:40	EDT	32100	P		
USGS	01193050	2017-05-15 01:45	EDT	32200	P		
USGS	01193050	2017-05-15 01:50	EDT	31500	P		
USGS	01193050	2017-05-15 01:55	EDT	30900	P		
USGS	01193050	2017-05-15 02:00	EDT	30200	P	38900	P
USGS	01193050	2017-05-15 02:05	EDT	29600	P		
USGS	01193050	2017-05-15 02:10	EDT	29100	P		
USGS	01193050	2017-05-15 02:15	EDT	28500	P		
USGS	01193050	2017-05-15 02:20	EDT	29400	P		
USGS	01193050	2017-05-15 02:25	EDT	30300	P		
USGS	01193050	2017-05-15 02:30	EDT	31200	P		
USGS	01193050	2017-05-15 02:35	EDT	31200	P		
USGS	01193050	2017-05-15 02:40	EDT	31200	P		
USGS	01193050	2017-05-15 02:45	EDT	31200	P		
USGS	01193050	2017-05-15 02:50	EDT	30700	P		
USGS	01193050	2017-05-15 02:55	EDT	30200	P		
USGS	01193050	2017-05-15 03:00	EDT	29800	P	39200	P
USGS	01193050	2017-05-15 03:05	EDT	29100	P		
USGS	01193050	2017-05-15 03:10	EDT	28400	P		
USGS	01193050	2017-05-15 03:15	EDT	27700	P		
USGS	01193050	2017-05-15 03:20	EDT	28600	P		
USGS	01193050	2017-05-15 03:25	EDT	29600	P		
USGS	01193050	2017-05-15 03:30	EDT	30500	P		
USGS	01193050	2017-05-15 03:35	EDT	31200	P		
USGS	01193050	2017-05-15 03:40	EDT	31900	P		
USGS	01193050	2017-05-15 03:45	EDT	32600	P		
USGS	01193050	2017-05-15 03:50	EDT	32700	P		
USGS	01193050	2017-05-15 03:55	EDT	32800	P		
USGS	01193050	2017-05-15 04:00	EDT	32800	P	39600	P
USGS	01193050	2017-05-15 04:05	EDT	33400	P		
USGS	01193050	2017-05-15 04:10	EDT	33900	P		
USGS	01193050	2017-05-15 04:15	EDT	34400	P		
USGS	01193050	2017-05-15 04:20	EDT	34500	P		
USGS	01193050	2017-05-15 04:25	EDT	34500	P		
USGS	01193050	2017-05-15 04:30	EDT	34700	P		
USGS	01193050	2017-05-15 04:35	EDT	34500	P		
USGS	01193050	2017-05-15 04:40	EDT	34300	P		
USGS	01193050	2017-05-15 04:45	EDT	34200	P		
USGS	01193050	2017-05-15 04:50	EDT	35100	P		
USGS	01193050	2017-05-15 04:55	EDT	35900	P		
USGS	01193050	2017-05-15 05:00	EDT	36700	P	39900	P
USGS	01193050	2017-05-15 05:05	EDT	36900	P		
USGS	01193050	2017-05-15 05:10	EDT	37200	P		
USGS	01193050	2017-05-15 05:15	EDT	37400	P		
USGS	01193050	2017-05-15 05:20	EDT	38000	P		
USGS	01193050	2017-05-15 05:25	EDT	38700	P		
USGS	01193050	2017-05-15 05:30	EDT	39100	P		
USGS	01193050	2017-05-15 05:35	EDT	39300	P		
USGS	01193050	2017-05-15 05:40	EDT	39500	P		
USGS	01193050	2017-05-15 05:45	EDT	39700	P		
USGS	01193050	2017-05-15 05:50	EDT	39500	P		
USGS	01193050	2017-05-15 05:55	EDT	39400	P		
USGS	01193050	2017-05-15 06:00	EDT	39200	P	40300	P
USGS	01193050	2017-05-15 06:05	EDT	39700	P		
USGS	01193050	2017-05-15 06:10	EDT	40100	P		
