#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 16 15 00 120  6.0  8.0   0.5    MM    MM  MM     MM  17.9    MM  15.4   MM   MM    MM
2017 06 16 14 53 120  6.0  8.0   0.5    MM    MM  MM     MM  17.9    MM  15.4   MM   MM    MM
2017 06 16 14 45 110  6.0  7.0   0.4    MM    MM  MM     MM  18.1    MM  15.2   MM   MM    MM
2017 06 16 14 30 110  6.0  7.0   0.5    MM    MM  MM     MM  18.1    MM  15.1   MM   MM    MM
2017 06 16 13 53 110  6.0  7.0   0.5    MM    MM  MM     MM  18.1    MM  15.0   MM   MM    MM
2017 06 16 13 45 110  6.0  8.0   0.5    MM    MM  MM     MM  18.1    MM  15.0   MM   MM    MM
2017 06 16 13 30 120  6.0  8.0   0.4    MM    MM  MM     MM  18.2    MM  15.1   MM   MM    MM
2017 06 16 13 00 120  7.0  9.0   0.4    MM    MM  MM     MM  18.2    MM  14.9   MM   MM    MM
2017 06 16 12 53 120  7.0  9.0   0.4    MM    MM  MM     MM  18.2    MM  14.9   MM   MM    MM
2017 06 16 12 30 120  6.0  7.0   0.4    MM    MM  MM     MM  18.1    MM  14.8   MM   MM    MM
2017 06 16 12 15 120  7.0  9.0   0.4    MM    MM  MM     MM  18.1    MM  14.8   MM   MM    MM
2017 06 16 12 00 110  7.0  9.0   0.4    MM    MM  MM     MM  18.0    MM  14.9   MM   MM    MM
2017 06 16 11 53 110  7.0  9.0   0.4    MM    MM  MM     MM  18.0    MM  14.9   MM   MM    MM
2017 06 16 11 30 110  7.0  8.0   0.4    MM    MM  MM     MM  17.8    MM  14.9   MM   MM    MM
2017 06 16 11 00 110  7.0  9.0   0.4    MM    MM  MM     MM  17.6    MM  15.0   MM   MM    MM
2017 06 16 10 53 110  7.0  9.0   0.4    MM    MM  MM     MM  17.6    MM  15.0   MM   MM    MM
2017 06 16 10 45 120  7.0  8.0   0.4    MM    MM  MM     MM  17.5    MM  15.0   MM   MM    MM
2017 06 16 10 30 120  7.0  8.0   0.4    MM    MM  MM     MM  17.5    MM  15.0   MM   MM    MM
2017 06 16 10 00 120  7.0  9.0   0.4    MM    MM  MM     MM  17.3    MM  15.1   MM   MM    MM
2017 06 16 09 53 120  7.0  9.0   0.4    MM    MM  MM     MM  17.4    MM  15.0   MM   MM    MM
2017 06 16 09 45 120  8.0 10.0   0.4    MM    MM  MM     MM  17.3    MM  15.1   MM   MM    MM
2017 06 16 09 00 130  6.0  8.0   0.5    MM    MM  MM     MM  17.5    MM  15.1   MM   MM    MM
